# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = eibb_regression_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/bmfazio/git-repos/tesis-pucpstat/tesis-rsrc/endes_dump.R
# init = 2 (Default)
# random
#   seed = 3906157448
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,bx.1,bx.2,bx.3,bx.4,bx.5,bx.6,bx.7,bz.1,bz.2,bz.3,bz.4,bz.5,bz.6,bz.7,rho,sigma
# Adaptation terminated
# Step size = 0.231854
# Diagonal elements of inverse mass matrix:
# 0.000334999, 0.000243471, 0.000384148, 0.000636853, 9.5037e-05, 6.08163e-05, 0.00015092, 0.000109505, 6.97973e-05, 0.000107839, 0.000185078, 3.26917e-05, 2.07949e-05, 4.1005e-05, 0.00455467, 6.93995e-05
-57225.2,0.869163,0.231854,4,15,0,57227.6,-0.871598,0.10413,-0.0332948,-0.00434174,-0.0204719,-0.0338983,0.189349,0.384981,0.0765916,-0.0668084,-0.0683014,0.0252624,-0.0456996,0.12172,0.0461782,0.523761
-57221.3,0.952505,0.231854,4,31,0,57235.5,-0.846569,0.0790791,-0.0448104,0.00140025,0.0207662,-0.0506468,0.182985,0.353805,0.0949984,-0.0579676,-0.0544401,0.0164608,-0.035354,0.134329,0.046401,0.518928
-57222,0.834905,0.231854,4,31,0,57227.1,-0.817733,0.0772134,-0.0679003,-0.040633,-0.00297408,-0.0460804,0.181031,0.367417,0.0763989,-0.0455535,-0.047664,0.024044,-0.0412402,0.132435,0.0432662,0.529573
-57227.1,0.902966,0.231854,4,15,0,57232.1,-0.840009,0.101371,-0.046673,-0.0335699,0.0218167,-0.0435736,0.164521,0.354887,0.0880965,-0.0637387,-0.063337,0.0168841,-0.0340946,0.141028,0.0414329,0.525236
-57222,0.997518,0.231854,4,15,0,57231.7,-0.840109,0.0801912,-0.0649898,-0.00150181,-0.00396833,-0.0415024,0.190421,0.361159,0.0791594,-0.062299,-0.0461224,0.019484,-0.0393148,0.126346,0.0425836,0.527603
-57222.5,0.899073,0.231854,3,15,0,57233.8,-0.846037,0.0877865,-0.0503796,-0.0257124,0.0112241,-0.0461991,0.179647,0.366355,0.0801739,-0.0509839,-0.0382098,0.0170036,-0.0422074,0.133707,0.0442518,0.526802
-57223.4,0.989966,0.231854,5,31,0,57227.3,-0.854103,0.0948309,-0.0326082,0.0203031,-0.00158347,-0.0521843,0.198724,0.370272,0.0877271,-0.0629307,-0.0647453,0.019333,-0.0375754,0.124095,0.0469734,0.518957
-57223.7,0.975672,0.231854,3,15,0,57231.4,-0.859988,0.0921528,-0.0459187,0.00899496,0.000320622,-0.0561517,0.19102,0.36512,0.0950609,-0.0642469,-0.0706791,0.0244798,-0.0384104,0.124259,0.0455297,0.519863
-57226.5,0.953193,0.231854,4,15,0,57236.9,-0.861697,0.0842291,-0.0357803,0.00984274,0.00284358,-0.0504368,0.206354,0.370583,0.0951108,-0.0586342,-0.0779013,0.027669,-0.0389119,0.119434,0.0433864,0.518086
-57222.8,0.921484,0.231854,4,15,0,57235.2,-0.827882,0.0956069,-0.0597401,-0.0483873,-0.00289793,-0.0361227,0.175249,0.35238,0.0756754,-0.053819,-0.02573,0.0209592,-0.0390536,0.144768,0.042633,0.52632
